stage,run_name,cutoff,alpha,lr,nhid,min_length,max_length,surrogate_loss,final_train_nll,best_train_nll,final_valid_error,best_valid_error,final_grad_norm,max_grad_norm,final_rho
full,ECgp_full_00_clip1000_alpha2000_lr00100_nh100_fix100,1.0,2.0,0.01,100,100,100,19.181581616401672,0.8063602447509766,0.4372021555900574,29.53000259399414,15.49000072479248,136.82525634765625,882.8424072265625,1.1502954959869385
short,ECgp_short_02_clip1000_alpha2000_lr00100_nh100_fix100,1.0,2.0,0.01,100,100,100,39.334333658218384,0.7435438632965088,0.725110650062561,45.71000289916992,39.150001525878906,8.16163444519043,173.45164489746094,1.1250550746917725
short,ECgp_short_03_clip0500_alpha1000_lr00100_nh100_fix100,0.5,1.0,0.01,100,100,100,41.838372468948364,0.8995285034179688,0.8356913328170776,47.3900032043457,41.20000076293945,23.40616798400879,154.34414672851562,1.1360269784927368
short,ECgp_short_04_clip0206_alpha1863_lr00117_nh125_fix100,0.20607767173422312,1.863230583157874,0.011652481148802159,125,100,100,89.00516247749329,1.3850747346878052,1.3724803924560547,75.75000762939453,73.9800033569336,0.13337679207324982,0.5159192085266113,0.9509464502334595
short,ECgp_short_01_clip1000_alpha2000_lr00100_nh50_rand50_200,1.0,2.0,0.01,50,50,200,89.29680275917053,1.388161301612854,1.3698396682739258,74.97000122070312,74.31999969482422,0.2617613971233368,0.5287511348724365,0.9487560391426086
short,ECgp_short_00_clip0050_alpha2000_lr00100_nh50_rand50_200,0.05,2.0,0.01,50,50,200,89.58859777450562,1.3847577571868896,1.3803672790527344,75.32000732421875,74.33000183105469,0.2598237097263336,0.5240885019302368,0.9500447511672974
