Starting to train (PyTorch).
Iter 0000600: train nll 1.386, valid error 074.930%, best valid error 074.590%, avg grad norm   0.203, avg grad norm (post clip)   0.203, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000620: train nll 1.386, valid error 074.500%, best valid error 074.590%, avg grad norm   0.208, avg grad norm (post clip)   0.208, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000640: train nll 1.386, valid error 074.940%, best valid error 074.500%, avg grad norm   0.223, avg grad norm (post clip)   0.223, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000660: train nll 1.386, valid error 074.950%, best valid error 074.500%, avg grad norm   0.196, avg grad norm (post clip)   0.196, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000680: train nll 1.386, valid error 074.950%, best valid error 074.500%, avg grad norm   0.228, avg grad norm (post clip)   0.228, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000700: train nll 1.387, valid error 074.570%, best valid error 074.500%, avg grad norm   0.218, avg grad norm (post clip)   0.218, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000720: train nll 1.387, valid error 074.380%, best valid error 074.500%, avg grad norm   0.202, avg grad norm (post clip)   0.202, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000740: train nll 1.385, valid error 074.950%, best valid error 074.380%, avg grad norm   0.221, avg grad norm (post clip)   0.221, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000760: train nll 1.386, valid error 074.950%, best valid error 074.380%, avg grad norm   0.201, avg grad norm (post clip)   0.201, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000780: train nll 1.385, valid error 074.950%, best valid error 074.380%, avg grad norm   0.211, avg grad norm (post clip)   0.211, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000800: train nll 1.386, valid error 074.950%, best valid error 074.380%, avg grad norm   0.212, avg grad norm (post clip)   0.212, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000820: train nll 1.386, valid error 074.950%, best valid error 074.380%, avg grad norm   0.200, avg grad norm (post clip)   0.200, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000840: train nll 1.386, valid error 074.950%, best valid error 074.380%, avg grad norm   0.207, avg grad norm (post clip)   0.207, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000860: train nll 1.387, valid error 074.950%, best valid error 074.380%, avg grad norm   0.201, avg grad norm (post clip)   0.201, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000880: train nll 1.387, valid error 074.950%, best valid error 074.380%, avg grad norm   0.222, avg grad norm (post clip)   0.222, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000900: train nll 1.387, valid error 074.950%, best valid error 074.380%, avg grad norm   0.197, avg grad norm (post clip)   0.197, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000920: train nll 1.386, valid error 074.950%, best valid error 074.380%, avg grad norm   0.194, avg grad norm (post clip)   0.194, rho_Whh  0.96, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000940: train nll 1.386, valid error 074.950%, best valid error 074.380%, avg grad norm   0.193, avg grad norm (post clip)   0.193, rho_Whh  0.97, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000960: train nll 1.386, valid error 074.950%, best valid error 074.380%, avg grad norm   0.197, avg grad norm (post clip)   0.197, rho_Whh  0.97, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000980: train nll 1.386, valid error 074.950%, best valid error 074.380%, avg grad norm   0.194, avg grad norm (post clip)   0.194, rho_Whh  0.97, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0001000: train nll 1.386, valid error 074.950%, best valid error 074.380%, avg grad norm   0.184, avg grad norm (post clip)   0.184, rho_Whh  0.97, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0001020: train nll 1.387, valid error 074.950%, best valid error 074.380%, avg grad norm   0.207, avg grad norm (post clip)   0.207, rho_Whh  0.97, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0001040: train nll 1.386, valid error 074.950%, best valid error 074.380%, avg grad norm   0.205, avg grad norm (post clip)   0.205, rho_Whh  0.98, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0001060: train nll 1.387, valid error 074.930%, best valid error 074.380%, avg grad norm   0.241, avg grad norm (post clip)   0.241, rho_Whh  0.98, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
